Run,Collection_Date,geo_loc_name,Host,isolate,isolation_source,replicate,Sample Name
SRR12773137,23/08/2018,China: Huishui,pepper,HSRendo_D2,Root endosphere,biological replicate 2,F_Sample_47
SRR12773138,23/08/2018,China: Huishui,pepper,HSRendo_D1,Root endosphere,biological replicate 1,F_Sample_46
SRR12773139,23/08/2018,China: Huishui,pepper,HSRendo_H3,Root endosphere,biological replicate 3,F_Sample_45
SRR12773140,23/08/2018,China: Huishui,pepper,HSRendo_H2,Root endosphere,biological replicate 2,F_Sample_44
SRR12773141,23/08/2018,China: Huishui,pepper,HSRendo_H1,Root endosphere,biological replicate 1,F_Sample_43
SRR12773142,23/08/2018,China: Guiyang,pepper,GYRendo_D3,Root endosphere,biological replicate 3,F_Sample_42
SRR12773143,23/08/2018,China: Guiyang,pepper,GYRendo_D2,Root endosphere,biological replicate 2,F_Sample_41
SRR12773144,23/08/2018,China: Guiyang,pepper,GYBS_D2,bulk soil,biological replicate 2,F_Sample_5
SRR12773145,23/08/2018,China: Guiyang,pepper,GYRendo_D1,Root endosphere,biological replicate 1,F_Sample_40
SRR12773146,23/08/2018,China: Guiyang,pepper,GYRendo_H3,Root endosphere,biological replicate 3,F_Sample_39
SRR12773147,23/08/2018,China: Guiyang,pepper,GYRendo_H2,Root endosphere,biological replicate 2,F_Sample_38
SRR12773148,23/08/2018,China: Guiyang,pepper,GYRendo_H1,Root endosphere,biological replicate 1,F_Sample_37
SRR12773149,23/08/2018,China: Huishui,pepper,HSRepi_D3,Root epiphyte,biological replicate 3,F_Sample_36
SRR12773150,23/08/2018,China: Huishui,pepper,HSRepi_D2,Root epiphyte,biological replicate 2,F_Sample_35
SRR12773151,23/08/2018,China: Huishui,pepper,HSRepi_D1,Root epiphyte,biological replicate 1,F_Sample_34
SRR12773152,23/08/2018,China: Huishui,pepper,HSRepi_H3,Root epiphyte,biological replicate 3,F_Sample_33
SRR12773153,23/08/2018,China: Huishui,pepper,HSRepi_H2,Root epiphyte,biological replicate 2,F_Sample_32
SRR12773154,23/08/2018,China: Huishui,pepper,HSRepi_H1,Root epiphyte,biological replicate 1,F_Sample_31
SRR12773155,23/08/2018,China: Guiyang,pepper,GYBS_D1,bulk soil,biological replicate 1,F_Sample_4
SRR12773156,23/08/2018,China: Guiyang,pepper,GYRepi_D3,Root epiphyte,biological replicate 3,F_Sample_30
SRR12773157,23/08/2018,China: Guiyang,pepper,GYRepi_D2,Root epiphyte,biological replicate 2,F_Sample_29
SRR12773158,23/08/2018,China: Guiyang,pepper,GYRepi_D1,Root epiphyte,biological replicate 1,F_Sample_28
SRR12773159,23/08/2018,China: Guiyang,pepper,GYRepi_H3,Root epiphyte,biological replicate 3,F_Sample_27
SRR12773160,23/08/2018,China: Guiyang,pepper,GYRepi_H2,Root epiphyte,biological replicate 2,F_Sample_26
SRR12773161,23/08/2018,China: Guiyang,pepper,GYRepi_H1,Root epiphyte,biological replicate 1,F_Sample_25
SRR12773162,23/08/2018,China: Huishui,pepper,HSRHS_D3,rhizosphere soil,biological replicate 3,F_Sample_24
SRR12773163,23/08/2018,China: Huishui,pepper,HSRHS_D2,rhizosphere soil,biological replicate 2,F_Sample_23
SRR12773164,23/08/2018,China: Huishui,pepper,HSRHS_D1,rhizosphere soil,biological replicate 1,F_Sample_22
SRR12773165,23/08/2018,China: Huishui,pepper,HSRHS_H3,rhizosphere soil,biological replicate 3,F_Sample_21
SRR12773166,23/08/2018,China: Guiyang,pepper,GYBS_H3,bulk soil,biological replicate 3,F_Sample_3
SRR12773167,23/08/2018,China: Huishui,pepper,HSRHS_H2,rhizosphere soil,biological replicate 2,F_Sample_20
SRR12773168,23/08/2018,China: Huishui,pepper,HSRHS_H1,rhizosphere soil,biological replicate 1,F_Sample_19
SRR12773169,23/08/2018,China: Guiyang,pepper,GYRHS_D3,rhizosphere soil,biological replicate 3,F_Sample_18
SRR12773170,23/08/2018,China: Guiyang,pepper,GYRHS_D2,rhizosphere soil,biological replicate 2,F_Sample_17
SRR12773171,23/08/2018,China: Guiyang,pepper,GYRHS_D1,rhizosphere soil,biological replicate 1,F_Sample_16
SRR12773172,23/08/2018,China: Huishui,pepper,HSSUxylem_D3,Stem upper xylem,biological replicate 3,F_Sample_144
SRR12773173,23/08/2018,China: Huishui,pepper,HSSUxylem_D2,Stem upper xylem,biological replicate 2,F_Sample_143
SRR12773174,23/08/2018,China: Huishui,pepper,HSSUxylem_D1,Stem upper xylem,biological replicate 1,F_Sample_142
SRR12773175,23/08/2018,China: Huishui,pepper,HSSMxylem_D3,Stem middle xylem,biological replicate 3,F_Sample_141
SRR12773176,23/08/2018,China: Guiyang,pepper,GYRHS_H3,rhizosphere soil,biological replicate 3,F_Sample_15
SRR12773177,23/08/2018,China: Huishui,pepper,HSSMxylem_D2,Stem middle xylem,biological replicate 2,F_Sample_140
SRR12773178,23/08/2018,China: Huishui,pepper,HSSMxylem_D1,Stem middle xylem,biological replicate 1,F_Sample_139
SRR12773179,23/08/2018,China: Huishui,pepper,HSSBxylem_D3,Stem bottom xylem,biological replicate 3,F_Sample_138
SRR12773180,23/08/2018,China: Huishui,pepper,HSSBxylem_D2,Stem bottom xylem,biological replicate 2,F_Sample_137
SRR12773181,23/08/2018,China: Huishui,pepper,HSSBxylem_D1,Stem bottom xylem,biological replicate 1,F_Sample_136
SRR12773182,23/08/2018,China: Huishui,pepper,HSSUxylem_H3,Stem upper xylem,biological replicate 3,F_Sample_135
SRR12773183,23/08/2018,China: Huishui,pepper,HSSUxylem_H2,Stem upper xylem,biological replicate 2,F_Sample_134
SRR12773184,23/08/2018,China: Huishui,pepper,HSSUxylem_H1,Stem upper xylem,biological replicate 1,F_Sample_133
SRR12773185,23/08/2018,China: Huishui,pepper,HSSMxylem_H3,Stem middle xylem,biological replicate 3,F_Sample_132
SRR12773186,23/08/2018,China: Huishui,pepper,HSSMxylem_H2,Stem middle xylem,biological replicate 2,F_Sample_131
SRR12773187,23/08/2018,China: Guiyang,pepper,GYRHS_H2,rhizosphere soil,biological replicate 2,F_Sample_14
SRR12773188,23/08/2018,China: Huishui,pepper,HSSMxylem_H1,Stem middle xylem,biological replicate 1,F_Sample_130
SRR12773189,23/08/2018,China: Huishui,pepper,HSSBxylem_H3,Stem bottom xylem,biological replicate 3,F_Sample_129
SRR12773190,23/08/2018,China: Huishui,pepper,HSSBxylem_H2,Stem bottom xylem,biological replicate 2,F_Sample_128
SRR12773191,23/08/2018,China: Huishui,pepper,HSSBxylem_H1,Stem bottom xylem,biological replicate 1,F_Sample_127
SRR12773192,23/08/2018,China: Guiyang,pepper,GYSUxylem_D3,Stem upper xylem,biological replicate 3,F_Sample_126
SRR12773193,23/08/2018,China: Guiyang,pepper,GYSUxylem_D2,Stem upper xylem,biological replicate 2,F_Sample_125
SRR12773194,23/08/2018,China: Guiyang,pepper,GYSUxylem_D1,Stem upper xylem,biological replicate 1,F_Sample_124
SRR12773195,23/08/2018,China: Guiyang,pepper,GYSMxylem_D3,Stem middle xylem,biological replicate 3,F_Sample_123
SRR12773196,23/08/2018,China: Guiyang,pepper,GYSMxylem_D2,Stem middle xylem,biological replicate 2,F_Sample_122
SRR12773197,23/08/2018,China: Guiyang,pepper,GYSMxylem_D1,Stem middle xylem,biological replicate 1,F_Sample_121
SRR12773198,23/08/2018,China: Guiyang,pepper,GYRHS_H1,rhizosphere soil,biological replicate 1,F_Sample_13
SRR12773199,23/08/2018,China: Guiyang,pepper,GYSBxylem_D3,Stem bottom xylem,biological replicate 3,F_Sample_120
SRR12773200,23/08/2018,China: Guiyang,pepper,GYSBxylem_D2,Stem bottom xylem,biological replicate 2,F_Sample_119
SRR12773201,23/08/2018,China: Guiyang,pepper,GYSBxylem_D1,Stem bottom xylem,biological replicate 1,F_Sample_118
SRR12773202,23/08/2018,China: Guiyang,pepper,GYSUxylem_H3,Stem upper xylem,biological replicate 3,F_Sample_117
SRR12773203,23/08/2018,China: Guiyang,pepper,GYSUxylem_H2,Stem upper xylem,biological replicate 2,F_Sample_116
SRR12773204,23/08/2018,China: Guiyang,pepper,GYSUxylem_H1,Stem upper xylem,biological replicate 1,F_Sample_115
SRR12773205,23/08/2018,China: Guiyang,pepper,GYSMxylem_H3,Stem middle xylem,biological replicate 3,F_Sample_114
SRR12773206,23/08/2018,China: Guiyang,pepper,GYSMxylem_H2,Stem middle xylem,biological replicate 2,F_Sample_113
SRR12773207,23/08/2018,China: Guiyang,pepper,GYSMxylem_H1,Stem middle xylem,biological replicate 1,F_Sample_112
SRR12773208,23/08/2018,China: Guiyang,pepper,GYSBxylem_H3,Stem bottom xylem,biological replicate 3,F_Sample_111
SRR12773209,23/08/2018,China: Huishui,pepper,HSBS_D3,bulk soil,biological replicate 3,F_Sample_12
SRR12773210,23/08/2018,China: Guiyang,pepper,GYSBxylem_H2,Stem bottom xylem,biological replicate 2,F_Sample_110
SRR12773211,23/08/2018,China: Guiyang,pepper,GYSBxylem_H1,Stem bottom xylem,biological replicate 1,F_Sample_109
SRR12773212,23/08/2018,China: Huishui,pepper,HSSUepidermis_D3,Stem upper epidermis,biological replicate 3,F_Sample_108
SRR12773213,23/08/2018,China: Huishui,pepper,HSSUepidermis_D2,Stem upper epidermis,biological replicate 2,F_Sample_107
SRR12773214,23/08/2018,China: Huishui,pepper,HSSUepidermis_D1,Stem upper epidermis,biological replicate 1,F_Sample_106
SRR12773215,23/08/2018,China: Huishui,pepper,HSSMepidermis_D3,Stem middle epidermis,biological replicate 3,F_Sample_105
SRR12773216,23/08/2018,China: Huishui,pepper,HSSMepidermis_D2,Stem middle epidermis,biological replicate 2,F_Sample_104
SRR12773217,23/08/2018,China: Huishui,pepper,HSSMepidermis_D1,Stem middle epidermis,biological replicate 1,F_Sample_103
SRR12773218,23/08/2018,China: Huishui,pepper,HSSBepidermis_D3,Stem bottom epidermis,biological replicate 3,F_Sample_102
SRR12773219,23/08/2018,China: Huishui,pepper,HSSBepidermis_D2,Stem bottom epidermis,biological replicate 2,F_Sample_101
SRR12773220,23/08/2018,China: Huishui,pepper,HSBS_D2,bulk soil,biological replicate 2,F_Sample_11
SRR12773221,23/08/2018,China: Guiyang,pepper,GYBS_H2,bulk soil,biological replicate 2,F_Sample_2
SRR12773222,23/08/2018,China: Guiyang,pepper,GYBS_H1,bulk soil,biological replicate 1,F_Sample_1
